Categories,URL
Meta,github.com/vinta/awesome-python
Meta,github.com/josephmisiti/awesome-machine-learning
Meta,github.com/codecrafters-io/build-your-own-x
Meta,github.com/wilsonfreitas/awesome-quant
Meta,github.com/avelino/awesome-go
Meta,github.com/awesomedata/awesome-public-datasets
Meta,github.com/awesome-selfhosted/awesome-selfhosted
Meta,github.com/fffaraz/awesome-cpp
Meta,github.com/Hack-with-Github/Awesome-Hacking
Meta,github.com/prakhar1989/awesome-courses
Python,github.com/vinta/awesome-python
Python,github.com/scikit-learn/scikit-learn
Python,github.com/tensorflow/tensorflow
Python,github.com/ytdl-org/youtube-dl
Python,github.com/ccxt/ccxt
Python,github.com/pandas-dev/pandas
Python,github.com/mrjbq7/ta-lib
Python,github.com/ray-project/ray
Python,github.com/pytorch/pytorch
Python,github.com/yutiansut/QUANTAXIS
Python,github.com/faif/python-patterns
Python,github.com/pybind/pybind11
Python,github.com/bokeh/bokeh
Python,github.com/freqtrade/freqtrade
Python,github.com/Textualize/rich
Python,github.com/jakevdp/PythonDataScienceHandbook
Python,github.com/nvbn/thefuck
Python,github.com/deepfakes/faceswap
Python,github.com/pallets/flask
Python,github.com/streamlit/streamlit
Python,github.com/tqdm/tqdm
Python,github.com/waditu/tushare
Python,github.com/odoo/odoo
Python,github.com/statsmodels/statsmodels
Python,github.com/keras-team/keras
Python,github.com/bbfamily/abu
Python,github.com/getredash/redash
Python,github.com/onnx/onnx
Python,github.com/scrapy/scrapy
Python,github.com/satwikkansal/wtfpython
Python,github.com/kungfu-origin/kungfu
Python,github.com/mitmproxy/mitmproxy
Python,github.com/localstack/localstack
Python,github.com/3b1b/manim
Python,github.com/OpenBB-finance/OpenBBTerminal
Ed,github.com/TheAlgorithms/Python
Ed,github.com/isocpp/CppCoreGuidelines
Ed,github.com/codecrafters-io/build-your-own-x
Ed,github.com/faif/python-patterns
Ed,github.com/practical-tutorials/project-based-learning
Ed,github.com/jakevdp/PythonDataScienceHandbook
Ed,github.com/changkun/modern-cpp-tutorial
Ed,github.com/prakhar1989/awesome-courses
Ed,github.com/chrislgarry/Apollo-11
Ed,github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers
Ed,github.com/terryum/awesome-deep-learning-papers
Ed,github.com/binhnguyennus/awesome-scalability
Ed,github.com/scutan90/DeepLearning-500-questions
