URL,Popularity,Categories
github.com/lballabio/QuantLib,3145,
github.com/sindresorhus/awesome,762,Meta
github.com/jwasham/coding-interview-university,754,Ed
github.com/EbookFoundation/free-programming-books,723,Ed
github.com/vinta/awesome-python,718,"Meta,Python"
github.com/vnpy/vnpy,660,Trading
github.com/torvalds/linux,644,OS
github.com/TheAlgorithms/Python,642,"Ed,Examples"
github.com/mementum/backtrader,632,"Trading,Backtesting"
github.com/bitcoin/bitcoin,626,Crypto
github.com/josephmisiti/awesome-machine-learning,596,"Meta,ML"
github.com/scikit-learn/scikit-learn,592,"ML,Python"
github.com/tensorflow/tensorflow,588,"ML,Python"
github.com/isocpp/CppCoreGuidelines,558,"Ed,C++"
github.com/ohmyzsh/ohmyzsh,550,OS
github.com/codecrafters-io/build-your-own-x,540,"Meta,Ed"
github.com/ytdl-org/youtube-dl,535,"App,Python"
github.com/nlohmann/json,528,"Lib,C++"
github.com/public-apis/public-apis,517,Meta
github.com/ccxt/ccxt,494,"Lib,Python,Crypto"
github.com/pandas-dev/pandas,494,"Lib,Python"
github.com/wilsonfreitas/awesome-quant,493,"Meta,Quant"
github.com/tesseract-ocr/tesseract,493,"App,C++"
github.com/mrjbq7/ta-lib,487,"Lib,Python,TA"
github.com/ray-project/ray,468,"Lib,Python,Infra"
github.com/pytorch/pytorch,459,"Lib,Python,ML"
github.com/avelino/awesome-go,456,"Meta,Go"
github.com/netdata/netdata,448,"App,Infra,C++"
github.com/donnemartin/system-design-primer,447,Ed
github.com/papers-we-love/papers-we-love,444,Ed
github.com/ocornut/imgui,443,"Lib,C++,UI"
github.com/twbs/bootstrap,441,"Lib,JS,UI"
github.com/awesomedata/awesome-public-datasets,432,"Meta,Data"
github.com/ossu/computer-science,432,Ed
github.com/d3/d3,429,"Documentation,Data,JS"
github.com/yutiansut/QUANTAXIS,409,"Quant,Lib,Python"
github.com/awesome-selfhosted/awesome-selfhosted,394,"Meta,App"
github.com/catchorg/Catch2,393,"Test,C++"
github.com/puppeteer/puppeteer,383,"App,Web,TS"
github.com/rust-lang/rust,381,"Lang,Rust"
github.com/godotengine/godot,379,"Game,C++"
github.com/neovim/neovim,377,"App,C++"
github.com/denoland/deno,373,"Lang,JS,TS,Rust"
github.com/gabime/spdlog,373,"Log,C++"
github.com/ansible/ansible,371,"App,Infra"
github.com/syncthing/syncthing,369,"App,Infra"
github.com/CyC2018/CS-Notes,369,Ed
github.com/electron/electron,369,"App,JS,Lib"
github.com/fffaraz/awesome-cpp,363,"Meta,C++"
github.com/golang/go,363,"Lang,Go"
github.com/996icu/996.ICU,361,Adv
github.com/labuladong/fucking-algorithm,357,Ed
github.com/faif/python-patterns,354,"Ed,Examples,Python"
github.com/practical-tutorials/project-based-learning,354,"Ed,Examples"
github.com/pybind/pybind11,353,"Lib,C++,Python"
github.com/ricequant/rqalpha,353,"Trading,Backtesting,Algo"
github.com/gin-gonic/gin,353,"Lib,Web,Go"
github.com/bokeh/bokeh,352,"Lib,Web,Python,TS"
github.com/abseil/abseil-cpp,351,"Lib,C++"
github.com/freqtrade/freqtrade,349,"Crypto,Algo,Python"
github.com/flutter/flutter,349,"Lib,Web,Dart"
github.com/fatedier/frp,347,"Lib,Web,Infra,Go"
github.com/Textualize/rich,346,"Lib,Python"
github.com/mui/material-ui,336,"Lib,JS,TS"
github.com/jakevdp/PythonDataScienceHandbook,335,"Ed,Examples,ML,Python"
github.com/chartjs/Chart.js,335,"Lib,Web,JS"
github.com/axios/axios,334,"Lib,Web,JS"
github.com/libuv/libuv,333,"Lib,Infra,JS"
github.com/mermaid-js/mermaid,330,"App,JS"
github.com/JuliaLang/julia,330,"Lang,Julia"
github.com/obsproject/obs-studio,325,"App,C++"
github.com/changkun/modern-cpp-tutorial,325,"Ed,C++"
github.com/Hack-with-Github/Awesome-Hacking,325,"Meta,Infra"
github.com/nvbn/thefuck,324,"App,Python"
github.com/prakhar1989/awesome-courses,323,"Meta,Ed"
github.com/metabase/metabase,321,"App,Clojure"
github.com/simdjson/simdjson,318,"Lib,C++"
github.com/gogs/gogs,312,"App,Infra,Go"
github.com/StockSharp/StockSharp,310,"App,Trading,Crypto,DotNET"
github.com/deepfakes/faceswap,310,"App,Python"
github.com/chrislgarry/Apollo-11,310,"Ed,App,AS"
github.com/CamDavidsonPilon/Probabilistic-Programming-and-Bayesian-Methods-for-Hackers,308,"Ed,ML"
github.com/ClickHouse/ClickHouse,308,"App,C++"
github.com/storybookjs/storybook,306,"Lib,Web,TS"
github.com/minio/minio,306,"App,Go,ML"
github.com/terryum/awesome-deep-learning-papers,304,"Ed,ML"
github.com/microsoft/vscode,304,"App,TS"
github.com/traefik/traefik,303,"App,Web,Go"
github.com/mrdoob/three.js,303,"Lib,Web,JS"
github.com/moby/moby,303,"Lib,Infra,Go"
github.com/binhnguyennus/awesome-scalability,302,"Ed,Infra"
github.com/rclone/rclone,302,"App,Infra,Go"
github.com/pallets/flask,301,"Lib,Web,Python"
github.com/streamlit/streamlit,301,"Lib,Web,Python"
github.com/tqdm/tqdm,300,"Lib,Infra,Python"
github.com/emscripten-core/emscripten,300,"Lang,C++,Web"
github.com/DopplerHQ/awesome-interview-questions,298,Ed
github.com/scutan90/DeepLearning-500-questions,298,"Ed,ML"
github.com/atom/atom,297,"App,JS"
github.com/grafana/grafana,294,"App,Infra,TS,Go"
github.com/waditu/tushare,292,"Lib,Trading,Python"
github.com/algorithm-visualizer/algorithm-visualizer,291,"App,Ed,JS"
github.com/odoo/odoo,290,"App,Web,JS,Python"
github.com/kamranahmedse/developer-roadmap,287,Ed
github.com/statsmodels/statsmodels,286,"Lib,Python"
github.com/tauri-apps/tauri,286,"Lib,Rust"
github.com/keras-team/keras,286,"Lib,ML,Python"
github.com/bbfamily/abu,285,"App,Trading,ML,Python"
github.com/getredash/redash,285,"App,Data,Python,JS"
github.com/nvm-sh/nvm,284,"App,Infra"
github.com/Avik-Jain/100-Days-Of-ML-Code,284,"Ed,ML"
github.com/ZuzooVn/machine-learning-for-software-engineers,283,"Ed,ML"
github.com/onnx/onnx,283,"Lib,ML,C++,Python"
github.com/freeCodeCamp/freeCodeCamp,283,Ed
github.com/tldr-pages/tldr,282,Ed
github.com/stefan-jansen/machine-learning-for-trading,282,"Ed,Trading,ML"
github.com/hudson-and-thames/mlfinlab,281,"Ed,Trading,ML,Examples"
github.com/scrapy/scrapy,279,"Lib,Web,Infra,Python"
github.com/iluwatar/java-design-patterns,278,"Ed,Java"
github.com/QuantConnect/Lean,278,"Lib,Trading,DotNET"
github.com/satwikkansal/wtfpython,276,"Ed,Examples,Python"
